Acct #,Name,City,CY Total,PY Total,Difference
88290,PHILLIPS EYECARE,SIERRA VISTA,1767.7,2224.69,-456.99
92839,COCHISE EYE & LASER,SIERRA VISTA,487.99,917.86,-429.87
94425,EYE ON HEALTH,PHOENIX,765.81,1152.98,-387.17
82879,CAMP VERDE EYECARE,CAMP VERDE,680.95,1063.9,-382.95
94133,NEVADA EYECARE FLAMINGO,LAS VEGAS,29.94,379.52,-349.58
93661,SCOTTSDALE EYE PHYSICIANS,SCOTTSDALE,33.99,361.86,-327.87
82747,EYE MAGINATION,MESA,261.02,577.91,-316.89
94870,EXPERTS ON SIGHT,GILBERT,447.76,759.9,-312.14
86206,EYE CARE SERVICES,LAS VEGAS,858.28,1162.95,-304.67
82715,DR ELLEN MERKIN,LAS VEGAS,0.0,299.91,-299.91
93858,HOLLY ANDERSON OPTOMETRY,AURORA,848.3,1147.7,-299.4
87797,OPTICAL EXPERTS,PHOENIX,0.0,284.65,-284.65
87252,OPTIC GALLERY #6,LAS VEGAS,4.99,273.65,-268.66
93025,CASA GRANDE EYE CARE,CASA GRANDE,44.98,304.98,-260.0
82718,DR. KEITH KOHORST,PAHRUMP,1771.6,1991.65,-220.05
86234,AVANT GARDE EYECARE,PEORIA,1198.6,1413.55,-214.95
88987,CLASIK VISION CARE,SAN TAN VALLEY,14.97,206.63,-191.66
82464,DESERT FAMILY VISION CENTER,SAFFORD,1360.98,1544.02,-183.04
84165,DAVID R BONIFACE OD,CALEXICO,4170.75,4341.55,-170.8
82919,NEVADA EYECARE CHEYENNE,LAS VEGAS,0.0,168.0,-168.0
87677,AFFILIATED OPTICAL DESIGN,PHOENIX,0.0,160.69,-160.69
88936,AMERICAN VISION PARTNERS,TEMPE,0.0,155.96,-155.96
84233,EYE & COSMETIC SURGERY LLC,HENDERSON,1243.48,1389.15,-145.67
91002,SMART SPECS OPTICAL,FLAGSTAFF,296.0,429.98,-133.98
71433,LAS VEGAS FAMILY EYECARE,LAS VEGAS,5558.12,5670.23,-112.11
92868,FAMILY TREE EYE CARE,GILBERT,70.95,164.67,-93.72
80423,CENTRAL PHOENIX EYEWEAR,PHOENIX,0.0,87.0,-87.0
83381,PAGE EYE CENTER,PAGE,10701.22,10786.21,-84.99
94227,BLUE DIAMOND EYE CARE,LAS VEGAS,31.8,105.0,-73.2
84903,DR BRIAN K ANDERSON,LAS VEGAS,280.0,350.0,-70.0
95412,LIBBI A TRACY,MESA,0.0,69.0,-69.0
93584,NEIL K DICKERSON OD PLLC,LAS VEGAS,4.99,59.93,-54.94
72210,BUENA VISTA EYE CARE,TUCSON,78.88,120.82,-41.94
80987,PRIMARY EYE CARE CTR,PHOENIX,175.0,215.06,-40.06
91039,SPECTACLE,LAS VEGAS,2325.34,2354.51,-29.17
89408,OPTIC GALLERY #7,LAS VEGAS,0.0,24.95,-24.95
93415,OPTIC GALLERY THE DISTRICT,HENDERSON,2180.63,2190.61,-9.98
94691,NUVISION CENTERS,GLENDALE,7.5,10.02,-2.52
